Title,PreNomination,PostNomination,PostAwards,Total,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore,,,,,,,,Writer,Actors,Language,imdbID,Country,Awards,Genre
My Left Foot,2100000,6800000,5900000,14700000,10 Nov 1989,1989,0,46683,7.9,R,103,N/A,,,,,,,,"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (book)","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",English,tt0097937,"Ireland, UK",Won 2 Oscars. Another 20 wins & 18 nominations.,"Biography, Drama"
Brokeback Mountain,51700000,27200000,4200000,83000000,13 Jan 2006,2005,0,245925,7.7,R,134,87,,,,,,,,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",English,tt0388795,"USA, Canada",Won 3 Oscars. Another 119 wins & 106 nominations.,"Drama, Romance"
Babe,58200000,4600000,865000,63700000,04 Aug 1995,1995,0,89243,6.8,G,91,83,,,,,,,,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",English,tt0112431,"Australia, USA",Won 1 Oscar. Another 18 wins & 21 nominations.,"Comedy, Drama, Family"
Elizabeth,21400000,6500000,2200000,30100000,19 Feb 1999,1998,0,72299,7.5,R,124,75,,,,,,,,Michael Hirst,"Cate Blanchett, Geoffrey Rush, Christopher Eccleston, Joseph Fiennes","English, French",tt0127536,"UK, USA",Won 1 Oscar. Another 33 wins & 51 nominations.,"Biography, Drama, History"
The Insider,26600000,1900000,609000,29100000,05 Nov 1999,1999,0,127381,7.9,R,157,84,,,,,,,,"Marie Brenner (article), Eric Roth, Michael Mann","Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora","English, Japanese, Arabic, Persian",tt0140352,USA,Nominated for 7 Oscars. Another 22 wins & 48 nominations.,"Biography, Drama, Thriller"
Ghost,213600000,2900000,1100000,217600000,13 Jul 1990,1990,0,145476,7,PG-13,127,52,,,,,,,,Bruce Joel Rubin,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn",English,tt0099653,USA,Won 2 Oscars. Another 16 wins & 22 nominations.,"Drama, Fantasy, Romance"
The Theory of Everything,26200000,7900000,1800000,35900000,26 Nov 2014,2014,0,214904,7.7,PG-13,123,72,,,,,,,,"Anthony McCarten (screenplay), Jane Hawking (book)","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry","English, French, Latin, Italian",tt2980516,UK,Won 1 Oscar. Another 23 wins & 106 nominations.,"Biography, Drama, Romance"
Mississippi Burning,18600000,15300000,713000,34600000,27 Jan 1989,1988,0,62008,7.8,R,128,65,,,,,,,,Chris Gerolmo,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif",English,tt0095647,USA,Won 1 Oscar. Another 16 wins & 24 nominations.,"Crime, Drama, Mystery"
The Shawshank Redemption,16800000,8100000,3500000,28300000,14 Oct 1994,1994,0,1555482,9.3,R,142,80,,,,,,,,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",English,tt0111161,USA,Nominated for 7 Oscars. Another 14 wins & 18 nominations.,"Crime, Drama"
Gosford Park,22300000,15500000,3600000,41300000,18 Jan 2002,2001,0,62457,7.3,R,137,90,,,,,,,,"Robert Altman (idea), Julian Fellowes, Bob Balaban (idea)","Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford",English,tt0280707,"UK, USA, Italy",Won 1 Oscar. Another 29 wins & 72 nominations.,"Drama, Mystery"
Letters from Iwo Jima,2600000,10200000,921000,13800000,02 Feb 2007,2006,0,126999,7.9,R,141,89,,,,,,,,"Iris Yamashita (screenplay), Iris Yamashita (story), Paul Haggis (story), Tadamichi Kuribayashi (book), Tsuyoko Yoshido (book)","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase","Japanese, English",tt0498380,USA,Won 1 Oscar. Another 22 wins & 29 nominations.,"Drama, History, War"
Children of a Lesser God,22100000,5300000,4400000,31900000,31 Oct 1986,1986,0,11151,7.2,R,119,N/A,,,,,,,,"Mark Medoff (stage play), Hesper Anderson (screenplay), Mark Medoff (screenplay)","William Hurt, Marlee Matlin, Piper Laurie, Philip Bosco","English, American Sign Language",tt0090830,USA,Won 1 Oscar. Another 4 wins & 12 nominations.,"Drama, Romance"
The Social Network,95400000,1500000,44800,97000000,01 Oct 2010,2010,0,436554,7.8,PG-13,120,95,,,,,,,,"Aaron Sorkin (screenplay), Ben Mezrich (book)","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons","English, French",tt1285016,USA,Won 3 Oscars. Another 152 wins & 151 nominations.,"Biography, Drama"
The Hurt Locker,12700000,2000000,2300000,17000000,31 Jul 2009,2008,1,305865,7.6,R,131,94,,,,,,,,Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce","English, Arabic",tt0887912,USA,Won 6 Oscars. Another 108 wins & 112 nominations.,"Drama, History, Thriller"
Saving Private Ryan,194900000,15300000,6300000,216500000,24 Jul 1998,1998,0,796329,8.6,R,169,90,,,,,,,,Robert Rodat,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","English, French, German, Czech",tt0120815,USA,Won 5 Oscars. Another 71 wins & 74 nominations.,"Action, Drama, War"
The Lord of the Rings: The Two Towers,321100000,13700000,5000000,339800000,18 Dec 2002,2002,0,998747,8.7,PG-13,179,88,,,,,,,,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","Bruce Allpress, Sean Astin, John Bach, Sala Baker","English, Sindarin, Old English",tt0167261,"USA, New Zealand",Won 2 Oscars. Another 96 wins & 106 nominations.,"Adventure, Fantasy"
There Will Be Blood,8700000,26400000,5100000,40200000,25 Jan 2008,2007,0,342198,8.1,R,158,92,,,,,,,,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","English, American Sign Language",tt0469494,USA,Won 2 Oscars. Another 97 wins & 121 nominations.,Drama
The Cider House Rules,20700000,28900000,7900000,57500000,07 Jan 2000,1999,0,75993,7.4,PG-13,126,75,,,,,,,,"John Irving (novel), John Irving (screenplay)","Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",English,tt0124315,USA,Won 2 Oscars. Another 6 wins & 29 nominations.,"Drama, Romance"
The Dresser,563000,4700000,0,5300000,06 Dec 1983,1983,0,3501,7.7,PG,118,N/A,,,,,,,,Ronald Harwood (screenplay),"Albert Finney, Tom Courtenay, Edward Fox, Zena Walker",English,tt0085461,UK,Nominated for 5 Oscars. Another 5 wins & 12 nominations.,Drama
The Crying Game,14000000,33600000,14900000,62500000,19 Feb 1993,1992,0,39585,7.3,R,112,90,,,,,,,,Neil Jordan,"Forest Whitaker, Miranda Richardson, Stephen Rea, Adrian Dunbar",English,tt0104036,"UK, Japan",Won 1 Oscar. Another 20 wins & 34 nominations.,"Crime, Drama, Romance"
The Full Monty,38900000,5500000,1600000,46000000,19 Sep 1997,1997,0,78598,7.2,R,91,75,,,,,,,,Simon Beaufoy,"Robert Carlyle, Mark Addy, William Snape, Steve Huison",English,tt0119164,"UK, USA",Won 1 Oscar. Another 34 wins & 30 nominations.,"Comedy, Drama, Music"
