Title,Win,Oscar,Prod Budget,Gross Domestic,Release Date
Never Let Me Go,0,0,15000000,2434652,"September 15, 2010"
eXistenZ,0,0,15000000,2856712,"April 23, 1999"
The Hills Have Eyes,0,0,15000000,41778863,"March 10, 2006"
The Wedding Date,0,0,15000000,31726995,"February 4, 2005"
Diary of a Wimpy Kid,0,0,15000000,64003625,"March 19, 2010"
United 93,0,0,15000000,31483450,"April 28, 2006"
Hoot,0,0,15000000,8117637,"May 5, 2006"
The Rocker,0,0,15000000,6409528,"August 20, 2008"
Raise Your Voice,0,0,15000000,10411980,"October 8, 2004"
When a Stranger Calls,0,0,15000000,47860214,"February 3, 2006"
The Dreamers,0,0,15000000,2532228,"February 6, 2004"
Here on Earth,0,0,15000000,10522168,"March 24, 2000"
Confidence,0,0,15000000,12251640,"April 25, 2003"
Ex Machina,0,0,15000000,25442958,"April 10, 2015"
Mama,0,0,15000000,71628180,"January 18, 2013"
Black Snake Moan,0,0,15000000,9396870,"March 2, 2007"
Slumdog Millionaire,1,1,15000000,141319928,"November 12, 2008"
Seven Psychopaths,0,0,15000000,15024049,"October 12, 2012"
Buffalo Soldiers,0,0,15000000,354421,"July 25, 2003"
"Kiss Kiss, Bang Bang",0,0,15000000,4243756,"October 21, 2005"
Ramona and Beezus,0,0,15000000,26167002,"July 23, 2010"
Dark Blue,0,0,15000000,9250301,"February 21, 2003"
One Day,0,0,15000000,13843771,"August 19, 2011"
De-Lovely,0,0,15000000,13456633,"July 2, 2004"
Drive (2011),0,0,15000000,35060689,"September 16, 2011"
