Q1,NumTheaters,ProductionBudget,Q2,Nom,G,Title,Oscar,PG13,NC17,ReleaseDate,ReleaseLength,R,PG,Q4,Win,Rating,Unrated,Runtime,Q3,TotalBoxOffice
0,1652,3000000,0,0,0,Waiting...,0,0,0,"October 7, 2005",42,1,0,1,0,R,0,93,0,16124543
0,2591,3000000,1,0,0,The Purge,0,0,0,"June 7, 2013",63,1,0,0,0,R,0,85,0,64473115
1,2240,20000000,0,0,0,One Missed Call,0,1,0,"January 4, 2008",70,0,0,0,0,PG-13,0,87,0,26890041
0,3940,150000000,1,0,1,Ratatouille,0,0,0,"June 29, 2007",168,0,0,0,0,G,0,111,0,206445654
0,2542,3000000,0,0,0,Sinister,0,0,0,"October 12, 2012",84,1,0,1,0,R,0,110,0,48086903
1,2950,36000000,0,0,0,Hall Pass,0,0,0,"February 25, 2011",77,1,0,0,0,R,0,98,0,45060734
0,25,8000000,1,0,0,Brooklyn Rules,0,0,0,"May 11, 2007",84,1,0,0,0,R,0,95,0,458232
0,3352,60000000,0,0,0,Jack Reacher,0,1,0,"December 21, 2012",91,0,0,1,0,PG-13,0,130,0,80070736
0,2489,13000000,1,0,0,Phone Booth,0,0,0,"April 4, 2003",119,1,0,0,0,R,0,81,0,46566212
0,168,21000000,1,0,0,The Beaver,0,1,0,"May 6, 2011",56,0,0,0,0,PG-13,0,91,0,970816
0,3755,150000000,1,0,0,Dark Shadows,0,1,0,"May 11, 2012",98,0,0,0,0,PG-13,0,113,0,79727149
1,2104,70000000,0,0,0,The Legend of Hercules,0,1,0,"January 10, 2014",63,0,0,0,0,PG-13,0,99,0,18848538
1,2755,50000000,0,0,0,Shanghai Knights,0,1,0,"February 7, 2003",126,0,0,0,0,PG-13,0,114,0,60476872
1,3848,95000000,0,0,0,Cinderella (2015),0,0,0,"March 13, 2015",189,0,1,0,0,PG,0,112,0,201151353
0,3870,75000000,0,0,0,Tower Heist,0,1,0,"November 4, 2011",91,0,0,1,0,PG-13,0,104,0,78046570
1,2872,28000000,0,0,0,3 Days to Kill,0,1,0,"February 21, 2014",84,0,0,0,0,PG-13,0,117,0,30697999
0,3352,65000000,0,0,1,The Santa Clause 2,0,0,0,"November 1, 2002",98,0,0,1,0,G,0,105,0,139236327
0,89,19100000,0,0,0,The Devil's Double,0,0,0,"July 29, 2011",63,1,0,0,0,R,0,108,1,1361512
1,3353,40000000,0,0,0,Escape From Planet Earth,0,0,0,"February 15, 2013",161,0,1,0,0,PG,0,89,0,57012977
0,817,20000000,1,0,0,The Love Letter,0,1,0,"May 21, 1999",63,0,0,0,0,PG-13,0,99,0,8302478
0,3654,150000000,0,0,0,Bolt,0,0,0,"November 21, 2008",98,0,1,1,0,PG,0,96,0,114053579
1,1305,25000000,0,0,0,Stop-Loss,0,0,0,"March 28, 2008",84,1,0,0,0,R,0,113,0,10915744
1,2896,20000000,0,0,0,Endless Love (2014),0,1,0,"February 14, 2014",35,0,0,0,0,PG-13,0,103,0,23438250
0,2545,30000000,1,0,0,Hanna,0,1,0,"April 8, 2011",91,0,0,0,0,PG-13,0,111,0,40259119
0,1738,15000000,0,0,0,Whip It,0,1,0,"October 2, 2009",70,0,0,1,0,PG-13,0,111,0,13043363
0,3014,10000000,1,0,0,Insidious Chapter 3,0,1,0,"June 5, 2015",70,0,0,0,0,PG-13,0,97,0,52218558
0,3155,5000000,0,0,0,Insidious Chapter 2,0,1,0,"September 13, 2013",98,0,0,0,0,PG-13,0,105,1,83586447
1,2238,35000000,0,0,0,Parker,0,0,0,"January 25, 2013",70,1,0,0,0,R,0,118,0,17616641
1,4065,135000000,0,0,0,The Croods,0,0,0,"March 22, 2013",182,0,1,0,0,PG,0,98,0,187168425
